individutcoverage	population	gene	allele1	indice1	allele2	indice2
HG00096	low_coverage	GBR	PRDM9	e	0.565560378848	L1	0.502847030387
HG00097	low_coverage	GBR	PRDM9	e	0.672349752071	L1	0.662314681145
